id,first_name,last_name,gender,Company_Name
1,Mattias,Eykelbosch,Non-binary,Avaveo
2,Demetris,Bulpitt,Bigender,Kazio
3,Averil,Riquet,Male,Linkbuzz
4,Erskine,Gini,Non-binary,Riffwire
5,Cletus,Fitzmaurice,Polygender,Lazzy
6,Field,Bernaert,Genderqueer,Meedoo
7,Ashbey,Payle,Genderfluid,Eazzy
8,Langston,Fookes,Male,Oyope
9,Robbie,Elnaugh,Genderqueer,Agivu
10,Ali,Rubin,Bigender,Zava
11,Tessi,Farleigh,Male,Podcat
12,Sibeal,Tapsfield,Genderqueer,Meedoo
13,Virginie,Andreia,Genderfluid,Wordtune
14,Karia,Danelet,Polygender,Vinder
15,Danica,Thurlbeck,Genderfluid,Trunyx
16,Tarra,Isherwood,Non-binary,Babbleopia
17,Cynthie,Snasel,Polygender,Browsetype
18,Konstantin,Bevans,Non-binary,Rhyzio
19,Alyssa,Dinkin,Male,Zoombeat
20,Joey,Carey,Female,Myworks
