id,first_name,last_name,email,gender,Product,UnitPrice,Quantity,Phone_Num,ImagePath
1,Worthy,Neesam,wneesam0@constantcontact.com,M,Cherries - Fresh,93,10,935-208-3403,D:\Files\Fresh.jpg
2,Faunie,Freckelton,ffreckelton1@washingtonpost.com,f,Cheese - Montery Jack,99,5,743-851-6002,C:\Files\Cheese.img
3,Miguel,Kevis,mkevis2@engadget.com,m,Energy - Boo - Koo,36,4,663-930-9301,F:\Files\Koo.png
4,Reagan,Flag,rflag3@hc360.com,m,Jack Daniels,37,6,638-174-4499,E:\Files\Jack.png
5,Yorker,Scotchbourouge,yscotchbourouge4@myspace.com,m,"Chicken - Diced, Cooked",87,5,259-496-8312,E:\Files\Chieck.jpeg
6,Marice,Fernehough,mfernehough5@msu.edu,f,Ezy Change Mophandle,45,7,209-197-8001,E:\Files\Ezy.img
7,Benjamen,Wain,bwain6@nbcnews.com,M,Appetizer - Sausage Rolls,76,1,654-484-9022,E:\Files\Rolls.png
8,Christy,Jikovsky,cjikovsky7@cmu.edu,F,"Chicken - White Meat, No Tender",8,1,896-417-1904,E:\Files\Tender.jpg
9,Jannelle,Iacapucci,jiacapucci8@deliciousdays.com,F,Basil - Thai,18,10,437-681-3794,D:\Files\Basil.jpg
10,Estele,Christaeas,echristaeas9@google.ca,F,Muffin Carrot - Individual,2,9,795-115-2139,D:\Files\Carrot.jpeg
